,logPriceRatio,rHold,rTime,action,J,M,JAdj,MAdj,Q
0,0,10,10,0.0,-0.025400774428952028,0.0021388665755039584,0,0,-0.027193175109648172
1,10,0,2,10.0,0.0007528092935989444,1.4450320820976754e-06,0,0,0.000751755321299462
2,-2,0,2,10.0,-0.0008223684901495467,9.117794305307186e-07,0,0,-0.0008226510775458745
3,-13,1,2,10.0,-0.013443472303378744,0.00018124459534697577,0,0,-0.013444093480709062
4,-2,2,2,10.0,-0.005391157148980403,2.9072758860439296e-05,0,0,-0.005391166969126927
5,22,1,2,10.0,0.0191910075822777,0.000368296359207,0,0,0.01919100567765695
6,-13,0,2,10.0,-0.006282381627139971,3.9589470737940744e-05,0,0,-0.006282527009334669
7,-14,0,2,10.0,-0.006241932926619552,4.227556103805649e-05,0,0,-0.0062459095278727195
8,9,1,2,10.0,0.005923408474114329,3.60246370796794e-05,0,0,0.005922283031160165
9,21,0,2,10.0,0.003072979667759998,1.3327288845605972e-05,0,0,0.0030683187659914304
10,33,1,2,10.0,0.03071586683057428,0.0009586736747558493,0,0,0.030697615791051548
11,-25,0,2,10.0,-0.011654700761279991,0.0001358320498349805,0,0,-0.011654700761279991
12,-2,1,2,10.0,-0.0015070580556819973,2.2712349924417716e-06,0,0,-0.0015070580688930923
13,-26,0,2,10.0,-0.011742469745833914,0.00013812986108405857,0,0,-0.011742762864256594
14,10,1,2,10.0,0.005337216413063946,2.848589112406892e-05,0,0,0.0053372163985629184
15,-3,0,2,10.0,-0.0012258660924765082,1.9359230524235298e-06,0,0,-0.001226385902927396
16,9,0,2,10.0,0.0013407499046008628,5.232432006916459e-06,0,0,0.0013366281185605876
17,21,1,2,10.0,0.014888864074886475,0.00023461893630643608,0,0,0.014873335279447286
18,-26,1,2,10.0,-0.02477632733739078,0.0006138691591252828,0,0,-0.024776330652745673
19,-37,0,2,10.0,-0.016583588456075236,0.00027611905833823346,0,0,-0.01658491283878455
20,-13,2,2,10.0,-0.0179642001659929,0.00032271253031118517,0,0,-0.01796420021724169
21,32,0,2,10.0,0.001772994176703146,1.1961724630749537e-05,0,0,0.0017624123171669944
22,-1,5,2,10.0,-0.0195128757325746,0.0003807532880093,0,0,-0.019512876894959882
23,-38,0,2,10.0,-0.01611394914288156,0.000262938289972272,0,0,-0.016117883862473037
24,21,2,2,10.0,0.02633031170849704,0.0006952772549685414,0,0,0.02632792138013473
25,8,0,2,10.0,0.0021867060616502574,6.4414011685786665e-06,0,0,0.002184714400328033
26,21,3,2,10.0,0.031601867016945666,0.0010010091930675673,0,0,0.031599069584012644
27,33,0,2,10.0,0.015328380728651036,0.00023635879892393917,0,0,0.015326701276857285
28,10,3,2,10.0,0.0118207878978275,0.0001397654702283,0,0,0.01182074656538405
29,-15,0,2,10.0,-0.005476899395232816,3.557332560067265e-05,0,0,-0.0054835916735710205
30,-14,1,2,10.0,-0.008424323140607686,7.141131071696612e-05,0,0,-0.008424853649015192
31,-25,1,2,10.0,-0.021581756942144287,0.00046577245136664896,0,0,-0.021581757204532512
32,10,6,2,10.0,0.0142754274533026,0.0002044506080044,0,0,0.014274632118466727
33,-1,6,2,10.0,-0.0231373592558726,0.0005363940706207,0,0,-0.023138627268615063
34,-27,0,2,10.0,-0.009290337053201031,9.31313730392456e-05,0,0,-0.00929852226577363
35,10,2,2,10.0,0.010600724748903364,0.00011237543331874545,0,0,0.010600724667163284
36,-25,2,2,10.0,-0.032400426043188,0.00104978760778,0,0,-0.03240042604318789
37,-37,1,2,10.0,-0.034334111421480296,0.001178832754058256,0,0,-0.03433411327782705
38,22,8,2,10.0,0.0622379669815084,0.0038753615339263,0,0,0.062235810581586434
39,-14,2,2,10.0,-0.021368270308659842,0.00045668165307326773,0,0,-0.02136836472116702
