logPriceRatio,rHold,rTime,policyAction
0.0,10.0,10.0,2
5.0,10.0,8.0,2
-1.0,2.0,6.0,3
-8.0,0.0,4.0,1
-2.0,0.0,2.0,10
-6.0,10.0,8.0,1
-13.0,3.0,6.0,5
-19.0,1.0,4.0,5
-13.0,0.0,2.0,10
-7.0,1.0,4.0,0
-1.0,3.0,6.0,5
4.0,2.0,4.0,1
10.0,1.0,2.0,10
-7.0,2.0,4.0,7
-2.0,2.0,2.0,10
4.0,0.0,4.0,8
21.0,0.0,2.0,10
-7.0,2.0,8.0,1
-13.0,0.0,6.0,4
10.0,2.0,6.0,4
4.0,1.0,4.0,2
10.0,0.0,2.0,10
-6.0,9.0,8.0,2
-1.0,7.0,6.0,5
4.0,4.0,4.0,7
-2.0,1.0,2.0,10
16.0,1.0,4.0,10
22.0,0.0,2.0,10
-7.0,6.0,8.0,2
-13.0,2.0,6.0,7
9.0,2.0,2.0,10
-19.0,10.0,8.0,3
-25.0,9.0,6.0,5
-31.0,9.0,4.0,4
-37.0,5.0,2.0,10
-7.0,4.0,4.0,4
-13.0,2.0,2.0,10
-19.0,0.0,4.0,1
-25.0,0.0,2.0,10
-13.0,7.0,6.0,3
-7.0,5.0,4.0,4
16.0,10.0,8.0,5
22.0,7.0,6.0,4
27.0,1.0,4.0,9
5.0,3.0,8.0,6
-25.0,7.0,6.0,2
-19.0,7.0,4.0,6
-25.0,5.0,2.0,10
5.0,8.0,8.0,2
-1.0,8.0,6.0,2
5.0,4.0,4.0,6
-1.0,4.0,2.0,10
-14.0,0.0,2.0,10
-12.0,8.0,6.0,1
-19.0,2.0,4.0,3
-25.0,1.0,2.0,10
-31.0,7.0,4.0,6
-7.0,0.0,8.0,5
5.0,7.0,8.0,5
10.0,3.0,6.0,3
15.0,1.0,4.0,9
21.0,1.0,2.0,10
15.0,0.0,4.0,7
9.0,0.0,2.0,10
10.0,0.0,6.0,10
16.0,0.0,4.0,10
-13.0,1.0,2.0,10
11.0,6.0,6.0,6
16.0,2.0,4.0,5
-1.0,6.0,6.0,6
11.0,7.0,6.0,3
9.0,1.0,6.0,0
10.0,7.0,6.0,7
16.0,6.0,4.0,3
10.0,5.0,2.0,10
-19.0,4.0,4.0,8
-7.0,7.0,8.0,3
-7.0,3.0,4.0,5
-19.0,9.0,4.0,5
-13.0,8.0,2.0,10
-7.0,4.0,8.0,3
-13.0,4.0,6.0,6
3.0,0.0,4.0,7
-13.0,6.0,6.0,4
-19.0,6.0,4.0,4
-24.0,6.0,2.0,10
3.0,1.0,4.0,6
32.0,0.0,2.0,10
4.0,2.0,8.0,3
15.0,2.0,4.0,10
-2.0,0.0,6.0,1
5.0,5.0,8.0,6
10.0,4.0,6.0,5
-19.0,5.0,4.0,5
-1.0,1.0,6.0,5
4.0,1.0,8.0,3
5.0,9.0,8.0,2
10.0,1.0,6.0,10
-20.0,1.0,4.0,5
-26.0,0.0,2.0,10
-13.0,5.0,6.0,4
9.0,1.0,2.0,10
-7.0,0.0,4.0,0
-7.0,1.0,8.0,1
